news_headline,news_article,news_category
11 govt forces members killed in terrorists' attacks in Afghanistan,"At least 11 Afghan security forces members were killed in terrorists' attacks in eastern Afghanistan on Wednesday night. In Ghazni province, four Afghan National Police (ANP) personnel and two national intelligence officers were killed after Taliban terrorists stormed three security checkpoints. In Logar province, five ANP officers were killed after armed terrorists attacked their security posts.",world
China accuses G-7 of 'blatantly meddling' in its affairs,"China has rejected criticism of its human rights record by foreign ministers at the Group of Seven meet in London. China's Foreign Ministry Spokesperson, Wang Wenbin, accused G-7 diplomats of ""blatantly meddling"" in China's affairs and said, ""China strongly condemns it."" Wang also said that attempts to undermine China's sovereignty and smear its image will never succeed.",world
Pope denounces 'aggressive' nationalism that rejects migrants,"Pope Francis denounced ""aggressive forms of nationalism"" that reject migrants, saying Catholics should follow the Gospel-mandated call for a welcoming church that doesn't distinguish between ""natives and foreigners."" He said the COVID-19 pandemic showed how the human family's concept was ""fragmented, wounded and disfigured."" He urged Catholics ""to make the Church become ever more inclusive.""",world
West must be very careful about Chinese investment: US,"US Secretary of State Antony Blinken has said the West had to be very careful about the exact nature of Chinese investment. ""If it is investing in strategic industries, strategic assets, that's something that countries need to look at very carefully,"" Blinken told BBC. He also said that the US was not trying to hold China back or contain it.",world
DMK releases list of 34 ministers a day before swearing-in in TN,"DMK has released a list of 34 ministers for Tamil Nadu Cabinet, a day before the swearing-in of the new government is scheduled to take place. CM-elect MK Stalin will hold several portfolios, including the home department. Ma Subramanian will get the health portfolio while Palanivel Thiagarajan will be the Minister for Finance and Human Resources Management.",politics
"Tamil Nadu Governor appoints MK Stalin as CM, oath ceremony on May 7","Tamil Nadu Governor Banwarilal Purohit on Wednesday appointed DMK President MK Stalin as the Chief Minister of the state. ""The honourable Governor of Tamil Nadu...invited him to form the ministry and to have a swearing-in ceremony on May 7, 2021, at 9 am at Raj Bhavan, Chennai,"" an official release from Raj Bhavan said.",politics
Mamata announces ₹2 lakh each for families of people who died in Bengal violence,"West Bengal CM Mamata Banerjee has announced a compensation ₹2 lakh each for families of people who died in post-poll violence in West Bengal. She said the compensation would be paid without discrimination. She added, ""Under law and order by Election Commission, 16 were killed. Half of them are from TMC and half from BJP, one was from Sanjukta Morcha.""",politics
Centre sends 4-member team to probe post-poll violence in West Bengal,"The Union Home Ministry has formed a four-member fact-finding team to look into reasons for post-poll violence in West Bengal and also assess the ground situation, officials said on Thursday. The team led by an additional secretary of the ministry has left for the state. At least six people were killed in violence in the state till Tuesday, PTI reported. ",politics
MK Stalin takes oath as Chief Minister of Tamil Nadu,"Dravida Munnetra Kazhagam (DMK) chief MK Stalin on Friday took oath as the Chief Minister of Tamil Nadu. The DMK-led coalition won 159 of the 234 Assembly constituencies in the elections. ""This victory is a recognition of that hard work...I will be truthful to you. I will work for you,"" Stalin told the people after poll victory.",politics
BJP uses pic of journalist & claims he's WB post-poll violence victim; he responds,"West Bengal BJP on Wednesday released a video on the post-poll violence and used the photo of journalist Abhro Banerjee, claiming he was 'Manik Moitro' who had died during the violence in Sitalkuchi. Responding to BJP's video, Banerjee tweeted, ""I am...living and hale and hearty and around 1,300 km away from Sitalkuchi...Please don't believe these fake posts...I am (still) alive.""",politics
BJP responds after wrongly using reporter's pic & claiming he's WB violence victim,"West Bengal BJP issued a statement after mistakenly using a journalist's image. In a video, the party's state unit used Abhro Banerjee's picture, claiming he was 'Manik Moitro' who allegedly died in post-poll violence in Sitalkuchi. ""The image...was erroneously included...while using an article by him as a source,"" read a statement, which was accompanied by a hyperlink and image link.",politics
Around 1L people ran away due to violence after TMC's win in WB: Nadda,"BJP chief JP Nadda has claimed that 80,000 to one lakh people ran away from their homes in face of attack following TMC's win in the West Bengal Assembly elections. He added that at least 14 BJP workers were killed, women were molested and raped. ""Mamata Banerjee's silence speaks of her involvement. She has blood on her hands,"" Nadda alleged.",politics
Union Minister Muraleedharan alleges attack by TMC goons on his convoy in Bengal,"Union Minister V Muraleedharan on Thursday alleged that his convoy was attacked by goons of West Bengal's ruling Trinamool Congress during his visit to the state. The minister posted a video of the attack on his car on Twitter. He wrote, ""TMC goons attacked my convoy in West Midnapore, broken windows, attacked personal staff. Cutting short my trip.""",politics
Mamata reinstates police officers transferred by Election Commission,"After taking oath as Chief Minister of West Bengal, Mamata Banerjee reinstated Virendra as DGP and Jawed Shamim as ADG (Law & Order). Virendra was posted as advisor, West Bengal State Electricity Distribution Company Limited, while Shamim was posted as DG (Fire Services) by Election Commission. The state home department also revoked the suspension of senior IPS officer Vivek Sahay.",politics
Give ₹4 lakh to COVID-19 victims' families: Kamal Nath to MP CM,"Former Madhya Pradesh CM and Congress leader Kamal Nath on Thursday demanded ₹4 lakh assistance from the state government for families of those who died due to COVID-19. He said that the COVID-19 situation in the state was ""scary"". He added, ""Fatalities due to COVID-19 should also be treated as deaths due to natural calamity.""",politics
Protagonists of negative politics kept away from power: Kerala CM,"Kerala CM Pinarayi Vijayan said on Thursday that Left Democratic Front's (LDF) decisive victory in the state will help the party and secular forces across India. ""This is the achievement of the people. They were very clear that the protagonists of negative politics were kept away from power. People have rewarded us mainly because we kept our promises,"" Vijayan added.",politics
Lalu to chair meeting with RJD MLAs over Bihar's COVID-19 situation,"Ex-Bihar CM Lalu Prasad Yadav will chair a virtual meeting over the COVID-19 situation in the state with RJD MLAs on May 9, said a party statement. The meeting will also be attended by his son and Leader of Opposition in the Bihar Assembly, Tejashwi Yadav. The meeting comes days after Lalu was granted bail by the Jharkhand High Court.",politics
Cong's performance in recent polls must be looked into: Kapil Sibal,"Congress leader Kapil Sibal said the party's performance must be looked into as it could not secure a single seat in West Bengal Assembly elections and also failed in Assam and Kerala. ""Now when voices are being raised from the party, this debacle should be looked into,"" Sibal added. Sibal stated, he will speak on the issue at appropriate time.",politics
Karnataka to provide COVID test reports within 7 hrs: Minister,"Deputy Chief Minister of Karnataka Dr Ashwathnarayan CN has said that COVID-19 test reports in the state will be given within seven hours. ""Earlier, it used to take 72 hours to get results after the samples reached the laboratory. Now, this has been reduced to seven hours. This would enable early detection of the infection,"" Ashwathnarayan explained.",politics
Nationwide lockdown only option left to check COVID-19: Gehlot,"Rajasthan Chief Minister Ashok Gehlot on Thursday said that a national lockdown is the only option left as it can help in breaking the chain of COVID-19 transmission if it's planned properly. ""For more than one year, our doctors and medical staff have been performing under excessive workload for the nation. We have lost many of them,"" Gehlot added.",politics
"Elections over, looting resumes: Rahul Gandhi on fuel prices","Congress leader Rahul Gandhi said that looting in form of revision in fuel prices began in the country as soon as the elections in four states and one Union Territory concluded. This comes after petrol and diesel prices climbed for the third straight day across the country on Thursday. In the national capital, the petrol price rose by 25 paise. ",politics
EC defers bypolls in 3 Parliamentary and 8 Assembly constituencies,"In view of the surging COVID-19 cases in the country, the Election Commission of India has decided to defer bypolls in three Parliamentary constituencies and eight Assembly constituencies. The Parliamentary constituencies are Dadra and Nagar Haveli, Khandwa, Mandi and the eight Assembly constituencies are Kalka, Ellenabad, Vallabhnagar, Sindgi, Rajabala, Mawryngkneng, Fatehpur and Badvel.",politics
"President, PM Modi condole RLD chief Ajit Singh's demise","President Ram Nath Kovind and PM Narendra Modi on Thursday condoled the passing away of Rashtriya Lok Dal (RLD) President and former union minister Chaudhary Ajit Singh. The President stated he always raised his voice in the interest of farmers. PM said, ""He efficiently discharged the responsibilities of several departments at the Centre.""",politics
"8 held, 3 policemen suspended after Muraleedharan's car attacked","Eight people were arrested in connection with the alleged attack on the convoy of Union Minister V Muraleedharan in West Bengal, police said. West Midnapore Superintendent of Police Dinesh Kumar added that three police officers were placed under suspension. Muraleedharan alleged that his convoy was attacked by goons of West Bengal's ruling Trinamool Congress during his visit to the state.",politics
